"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 09:20:31 UTC 2025","Sat Jul 19 09:20:32 UTC 2025","350","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
"passed","Sat Jul 19 09:20:23 UTC 2025","Sat Jul 19 09:20:23 UTC 2025","366","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","concurrentBookingTest","concurrentBookingTest","Only one of two simultaneous bookings for the same room and date should succeed"
"passed","Sat Jul 19 09:17:31 UTC 2025","Sat Jul 19 09:17:34 UTC 2025","2736","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","contactFormTest","contactFormTest","Contact form validation"
"failed","Sat Jul 19 09:20:41 UTC 2025","Sat Jul 19 09:20:41 UTC 2025","338","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
"passed","Sat Jul 19 09:20:16 UTC 2025","Sat Jul 19 09:20:16 UTC 2025","350","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"passed","Sat Jul 19 09:20:17 UTC 2025","Sat Jul 19 09:20:17 UTC 2025","353","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"passed","Sat Jul 19 09:20:19 UTC 2025","Sat Jul 19 09:20:19 UTC 2025","372","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"failed","Sat Jul 19 09:20:35 UTC 2025","Sat Jul 19 09:20:36 UTC 2025","361","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
"passed","Sat Jul 19 09:20:19 UTC 2025","Sat Jul 19 09:20:20 UTC 2025","238","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"failed","Sat Jul 19 09:20:33 UTC 2025","Sat Jul 19 09:20:34 UTC 2025","198","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
"passed","Sat Jul 19 09:20:17 UTC 2025","Sat Jul 19 09:20:18 UTC 2025","370","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"passed","Sat Jul 19 09:17:46 UTC 2025","Sat Jul 19 09:17:49 UTC 2025","2837","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","contactFormTest","contactFormTest","Contact form validation"
"passed","Sat Jul 19 09:19:38 UTC 2025","Sat Jul 19 09:19:41 UTC 2025","2971","Booking Suite","All Tests","ui.BookingPageTest","ui.BookingPageTest","bookingFormDataPersistAfterTabSwitchTest","bookingFormDataPersistAfterTabSwitchTest","Multi-Tab: Form data in Booking should persist after switching tabs"
"failed","Sat Jul 19 09:20:37 UTC 2025","Sat Jul 19 09:20:37 UTC 2025","405","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
"passed","Sat Jul 19 09:17:43 UTC 2025","Sat Jul 19 09:17:46 UTC 2025","2827","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","contactFormTest","contactFormTest","Contact form validation"
